"Y","bonf","permutation_threshold","hits_bonf","hits_perm","shapiro.test"
"Y593",1.77863658257036e-08,4.83965176434713e-08,51,112,1.00867953309603e-10
"Y594",1.77863658257036e-08,1.2479637359724e-11,241,115,2.62380980020578e-23
"Y595",1.77863658257036e-08,2.93438174273546e-23,1755,76,1.45154797688004e-29
"Y596",1.77863658257036e-08,1.66538757697916e-08,116,116,5.87094735180065e-17
"Y597",1.77863658257036e-08,1.12070211800235e-07,26,96,5.01180103144381e-10
"Y598",1.77863658257036e-08,1.69302462072765e-07,2,14,0.00131234521758306
"Y599",1.77863658257036e-08,9.57897293353276e-08,95,136,0.000430452483826732
"Y6",1.83966373890315e-08,4.59820447466554e-07,0,0,6.92618326661526e-10
"Y60",1.83894044664921e-08,1.60969145626259e-10,1,0,3.97835813311352e-23
"Y600",1.77863658257036e-08,3.05218915623927e-09,103,76,3.80620358488703e-06
"Y601",1.77863658257036e-08,7.18635860102746e-08,53,69,0.00259399077192303
"Y602",1.77863658257036e-08,1.77455750469117e-07,2,5,5.57218231347936e-07
"Y603",1.77863658257036e-08,1.22558776523136e-07,6,15,1.89832886562615e-07
"Y604",1.77863658257036e-08,2.04382854214658e-19,367,9,6.41301901911602e-26
"Y605",1.77863658257036e-08,9.22747223224051e-34,1799,0,6.94070831721367e-27
"Y606",1.77863658257036e-08,6.42279355664951e-18,227,6,3.49131089642721e-22
"Y607",1.77863658257036e-08,3.38829049468603e-22,333,0,6.61630940369483e-25
"Y608",1.77863658257036e-08,3.508620762942e-20,194,0,1.08212403236989e-24
"Y609",1.77863658257036e-08,5.94452538283166e-17,192,9,8.37341564798669e-22
"Y61",1.83894044664921e-08,1.84638907861562e-07,0,0,1.48375828452284e-19
"Y610",1.77863658257036e-08,1.61911921627849e-09,2,0,1.4202602844678e-13
"Y611",1.77863658257036e-08,1.56505314646198e-09,8,1,1.46599733475314e-10
"Y612",1.77863658257036e-08,9.54560001098482e-09,12,11,8.377679762523e-08
"Y613",1.77863658257036e-08,3.91189649265596e-08,31,40,2.41890971418459e-12
"Y614",1.77863658257036e-08,5.41799347287996e-08,73,90,2.32832663838116e-11
"Y615",1.77863658257036e-08,7.48361801106062e-29,1922,3,3.22012483481828e-22
"Y616",1.77863658257036e-08,1.73833502670934e-09,2057,1267,6.20824058395871e-13
"Y617",1.77863658257036e-08,7.7714328891825e-08,372,621,0.000346940724940958
